"id"	"film_name"	"initial_name"	"country"	"release_year"	"type"	"score"	"evaluate_number"	"role"	"introduction"	"image_src"	"alias"	"language"	"time"	"details_src"	"price"	"create_date"	"create_by"	"update_date"	"update_by"	"is_deleted"	"version"
"107"	"入殓师"	" おくりびと"	" 日本 "	"2008 "	" 剧情"	"8.9"	"649077"	"导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/..."	"死可能是一道门，逝去并不是终结，而是超越，走向下一程"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg"	" / 礼仪师之奏鸣曲(港)  /  礼仪师(台)"	"日语"	"130分钟"	"https://movie.douban.com/subject/2149806/"	"34.34"					"0"	
"108"	"爱在黎明破晓前"	" Before Sunrise"	" 美国 奥地利 瑞士 "	"1995 "	" 剧情 爱情"	"8.8"	"661229"	"导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke..."	"缘分是个连绵词，最美不过一瞬"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg"	" / 情留半天(港)  /  爱在黎明破晓时(台)"	"英语/德语/法语"	"101分钟"	"https://movie.douban.com/subject/1296339/"	"34.34"					"0"	
"109"	"第六感"	" The Sixth Sense"	" 美国 "	"1999 "	" 剧情 悬疑 惊悚"	"8.9"	"542557"	"导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi..."	"深入内心的恐怖，出人意料的结局"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg"	" / 鬼眼(港)  /  灵异第六感(台)"	"英语/拉丁语/西班牙语"	"107分钟"	"https://movie.douban.com/subject/1297630/"	"34.34"					"0"	
"110"	"重庆森林"	" 重慶森林"	" 中国香港 "	"1994 "	" 剧情 爱情"	"8.8"	"789896"	"导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK..."	"寂寞没有期限"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg"	" / Chungking Express"	"粤语/汉语普通话/英语/印地语/日语"	"102分钟/111分钟(台湾版DVD)"	"https://movie.douban.com/subject/1291999/"	"34.34"					"0"	
"111"	"蝙蝠侠：黑暗骑士崛起"	" The Dark Knight Rises"	" 美国 英国 "	"2012 "	" 剧情 动作 科幻 犯罪 惊悚"	"8.8"	"702239"	"导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ..."	"诺兰就是保证"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg"	" / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台)"	"英语/阿拉伯语"	"165分钟"	"https://movie.douban.com/subject/3395373/"	"34.34"					"0"	
"112"	"幽灵公主"	" もののけ姫"	" 日本 "	"1997 "	" 动画 奇幻 冒险"	"8.9"	"510858"	"导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合..."	"人与自然的战争史诗"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg"	" / 魔法公主(港 / 台) "	"日语"	"134分钟"	"https://movie.douban.com/subject/1297359/"	"34.34"					"0"	
"113"	"超能陆战队"	" Big Hero 6"	" 美国 "	"2014 "	" 喜剧 动作 科幻 动画 冒险"	"8.7"	"987602"	"导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特..."	"Balalala~~~"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg"	" / 大英雄联盟(港)  /  大英雄天团(台)"	"英语"	"102分钟"	"https://movie.douban.com/subject/11026735/"	"34.34"					"0"	
"114"	"菊次郎的夏天"	" 菊次郎の夏"	" 日本 "	"1999 "	" 剧情 喜剧"	"8.9"	"580372"	"导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus..."	"从没见过那么流氓的温柔，从没见过那么温柔的流氓"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg"	" / 菊次郎之夏  /  Kikujirô no natsu"	"日语"	"121分钟"	"https://movie.douban.com/subject/1293359/"	"34.34"					"0"	
"115"	"爱在日落黄昏时"	" Before Sunset"	" 美国 法国 "	"2004 "	" 剧情 爱情"	"8.9"	"542953"	"导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke..."	"九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖"	"https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg"	" / 日落巴黎(港)  /  爱在日落巴黎时(台)"	"英语/法语"	"80分钟"	"https://movie.douban.com/subject/1291990/"	"34.34"					"0"	
"116"	"天使爱美丽"	" Le fabuleux destin d'Amélie Poulain"	" 法国 德国 "	"2001 "	" 剧情 喜剧 爱情"	"8.7"	"942827"	"导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau..."	"法式小清新 "	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg"	" / 艾蜜莉的异想世界(台)  /  天使艾米莉"	"法语/俄语"	"122分钟"	"https://movie.douban.com/subject/1292215/"	"34.34"					"0"	
"117"	"甜蜜蜜"	" Comrades: Almost a Love Story"	" 中国香港 "	"1996 "	" 剧情 爱情"	"8.9"	"532284"	"导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/..."	"相逢只要一瞬间，等待却像是一辈子"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg"	" / Comrades: Almost a Love Story"	"粤语/汉语普通话/英语"	"118分钟(中国大陆)/116分钟(台湾)"	"https://movie.douban.com/subject/1305164/"	"34.34"					"0"	
"118"	"阳光灿烂的日子"	" In the Heat of the Sun"	" 中国大陆 中国香港 "	"1994 "	" 剧情 爱情"	"8.9"	"601443"	"导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao"	"一场华丽的意淫"	"https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg"	" / In the Heat of the Sun"	"汉语普通话"	"134分钟(中国大陆)/138分钟(威尼斯电影节)/128分钟(DVD版)/140分钟(修复版)/225分钟(初剪版)"	"https://movie.douban.com/subject/1291875/"	"34.34"					"0"	
"119"	"小森林 夏秋篇"	" リトル・フォレスト 夏・秋"	" 日本 "	"2014 "	" 剧情"	"9.0"	"416064"	"导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir..."	"那些静得只能听见呼吸的日子里，你明白孤独即生活"	"https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg"	" / 小森食光 / 夏秋篇(台) "	"日语"	"111分钟"	"https://movie.douban.com/subject/25814705/"	"34.34"					"0"	
